고객ID,성별,연령,개시일,서비스기간,단선횟수,지불방법,요금제,이탈여부,핸드셋,고객등급
K144650,남,63,17-Jan-96,57.666667,0,선불,CAT 200,이탈,ASAD90,3
K144660,여,28,16-Jun-96,52.633333,0,선불,CAT 200,유지,S50,1
K144670,여,63,25-Nov-97,35.066667,0,선불,CAT 200,유지,ASAD170,1
K144680,여,47,19-Nov-96,47.433333,1,선불,CAT 200,유지,S80,5
K144690,여,28,28-Jan-96,57.3,11,선불,CAT 200,유지,ASAD170,5
K144700,여,37,24-Mar-98,31.1,2,선불,CAT 200,유지,ASAD170,4
K144710,여,44,24-Sep-99,12.8,0,선불,CAT 200,유지,S80,1
K144720,남,26,17-Feb-99,20.1,1,선불,CAT 200,이탈,ASAD90,3
K144730,남,35,22-Oct-97,36.2,1,선불,CAT 200,이탈,ASAD90,1
K144740,남,41,09-Sep-99,13.3,0,선불,CAT 200,이탈,ASAD170,3
K144750,여,26,11-Dec-97,34.533333,0,선불,CAT 200,유지,S80,
K144760,남,30,23-Feb-98,32.066667,0,선불,CAT 200,이탈,S50,4
K144770,여,30,08-Mar-99,19.466667,2,선불,CAT 200,유지,ASAD170,2
K144780,남,28,24-Apr-97,42.233333,0,선불,CAT 200,이탈,ASAD90,3
K144790,남,37,09-Feb-96,56.9,10,선불,CAT 200,유지,S80,1
K144800,남,51,14-Dec-97,34.433333,1,선불,CAT 200,유지,ASAD170,3
K144810,여,44,28-Dec-97,33.966667,3,선불,CAT 200,유지,S80,4
K144820,여,40,24-Jan-99,20.9,11,선불,CAT 200,이탈,ASAD90,4
K144830,남,54,10-Nov-97,35.566667,1,선불,CAT 200,이탈,ASAD90,3
K144840,여,49,11-Jul-97,39.633333,0,선불,CAT 200,유지,ASAD170,1
K144850,여,58,08-Apr-97,42.766667,7,선불,CAT 200,유지,S80,4
K144860,여,28,25-Jul-98,27,1,선불,CAT 200,유지,ASAD170,5
K144870,여,32,24-Dec-98,21.933333,1,선불,CAT 200,유지,ASAD170,3
K144880,남,47,13-Feb-96,56.766667,2,선불,CAT 200,유지,S80,1
K144890,남,48,15-Oct-98,24.266667,1,선불,CAT 200,유지,S80,4
K144900,여,54,31-Mar-98,30.866667,2,선불,CAT 200,이탈,ASAD90,4
K144910,여,33,28-Jun-99,15.733333,1,선불,CAT 200,유지,ASAD170,5
K144920,여,28,15-Aug-98,26.3,0,선불,CAT 200,유지,S50,4
K144930,여,29,12-Aug-99,14.233333,10,선불,CAT 200,이탈,ASAD90,2
K144940,여,28,26-Dec-98,21.866667,1,선불,CAT 200,이탈,ASAD90,1
K144950,남,28,21-Oct-96,48.4,3,선불,CAT 200,유지,ASAD170,3
K144960,여,26,17-Feb-97,44.433333,8,선불,CAT 200,유지,S50,5
K144970,여,41,08-Aug-97,38.7,1,선불,CAT 200,유지,S80,4
K144980,남,43,28-Jul-97,39.066667,2,선불,CAT 200,유지,S80,5
K144990,남,30,17-Mar-99,19.166667,7,선불,CAT 200,유지,ASAD170,4
K145000,여,41,27-May-98,28.966667,0,선불,CAT 200,유지,S80,2
K145010,여,34,17-Jul-98,27.266667,0,선불,CAT 200,이탈,ASAD90,3
K145020,여,27,13-May-97,41.6,2,선불,CAT 200,유지,S50,5
K145030,여,41,10-Mar-96,55.9,1,선불,CAT 200,유지,S80,2
K145040,남,35,13-Jan-96,57.8,2,선불,CAT 200,유지,ASAD90,4
K145050,남,32,03-Jul-96,52.066667,2,선불,CAT 200,유지,ASAD90,1
K145060,남,44,14-Oct-99,12.133333,0,선불,CAT 200,이탈,ASAD90,5
K145070,여,58,28-Dec-99,9.633333,5,선불,CAT 200,이탈,ASAD90,1
K145080,남,29,26-May-97,41.166667,2,선불,CAT 200,유지,S50,2
K145090,여,41,27-Sep-99,12.7,2,선불,CAT 200,유지,S80,1
K145100,여,39,17-Jun-96,52.6,0,선불,CAT 200,유지,ASAD170,5
K145110,남,30,10-Jul-97,39.666667,0,선불,CAT 200,이탈,ASAD90,1
K145120,여,36,24-Nov-97,35.1,0,선불,CAT 200,유지,S50,3
K145130,남,34,22-Aug-98,26.066667,4,선불,CAT 200,이탈,ASAD90,1
K145140,여,30,27-Dec-97,34,7,선불,CAT 200,유지,S80,4
K145150,여,48,31-Jan-96,57.2,1,선불,CAT 200,이탈,ASAD90,2
K145160,남,34,08-Oct-98,24.5,1,선불,CAT 200,이탈,ASAD90,2
K145170,남,36,03-Apr-98,30.766667,7,선불,CAT 200,유지,ASAD90,
K145180,남,45,12-Jan-97,45.633333,11,선불,CAT 200,유지,S80,5
K145190,여,62,11-Sep-97,37.566667,7,선불,CAT 200,유지,S50,3
K145200,남,31,21-Jan-99,21,2,선불,CAT 200,유지,S50,
K145210,남,62,09-Nov-99,11.266667,1,선불,CAT 200,유지,S80,3
K145220,남,35,13-Mar-97,43.633333,2,선불,CAT 200,유지,S80,3
K145230,남,36,23-Apr-97,42.266667,9,선불,CAT 200,유지,S50,2
K145240,여,30,26-Jul-99,14.8,0,선불,CAT 200,유지,S80,4
K145250,남,47,14-Feb-97,44.533333,2,선불,CAT 200,유지,ASAD170,2
K145260,남,32,15-Sep-98,25.266667,2,선불,CAT 200,유지,S50,
K145270,남,30,07-Sep-98,25.533333,2,선불,CAT 200,유지,S50,2
K145280,남,36,07-Mar-97,43.833333,0,선불,CAT 200,유지,ASAD170,5
K145290,여,55,20-Sep-99,12.933333,10,선불,CAT 200,이탈,ASAD90,3
K145300,여,40,07-Oct-98,24.533333,1,선불,CAT 200,유지,ASAD170,5
K145310,여,39,07-Mar-98,31.666667,0,선불,CAT 200,유지,S80,
K145320,남,26,25-May-99,16.866667,2,선불,CAT 200,유지,S80,4
K145330,남,31,14-Dec-99,10.1,1,선불,CAT 200,유지,S50,3
K145340,여,27,18-Feb-99,20.066667,0,선불,CAT 200,이탈,S80,5
K145350,여,40,28-Mar-97,43.133333,0,선불,CAT 200,유지,S50,1
K145360,여,45,18-Jun-97,40.4,0,선불,CAT 200,유지,ASAD170,5
K145370,여,27,19-Apr-97,42.4,1,선불,CAT 200,유지,ASAD170,3
K145380,여,42,28-Nov-97,34.966667,2,선불,CAT 200,유지,ASAD90,1
K145390,남,30,19-May-99,17.066667,0,선불,CAT 200,유지,S80,4
K145400,여,29,09-Apr-96,54.9,1,선불,CAT 200,이탈,ASAD90,
K145410,남,47,10-Sep-97,37.6,2,선불,CAT 200,이탈,ASAD90,2
K145420,남,54,22-Dec-96,46.333333,1,선불,CAT 200,유지,ASAD90,2
K145430,여,39,18-Feb-98,32.233333,2,선불,CAT 200,이탈,ASAD90,4
K145440,남,30,13-Feb-98,32.4,6,선불,CAT 200,유지,S50,4
K145450,여,31,02-Jun-99,16.6,10,선불,CAT 200,이탈,ASAD90,1
K145460,남,38,15-Dec-98,22.233333,0,선불,CAT 200,유지,S80,5
K145470,여,27,05-Nov-98,23.566667,1,선불,CAT 200,유지,ASAD170,5
K145480,여,27,11-Jul-97,39.633333,0,선불,CAT 200,유지,S50,1
K145490,여,52,24-Jan-99,20.9,2,선불,CAT 200,유지,ASAD170,5
K145500,여,26,11-Dec-98,22.366667,1,선불,CAT 200,유지,S50,3
K145510,남,33,06-Aug-96,50.933333,0,선불,CAT 200,유지,S50,3
K145520,여,29,27-Jan-98,32.966667,2,선불,CAT 200,유지,S50,5
K145530,남,38,23-Dec-98,21.966667,1,선불,CAT 200,이탈,ASAD90,5
K145540,남,50,25-May-98,29.033333,2,선불,CAT 200,유지,S50,1
K145550,여,32,03-Aug-97,38.866667,0,선불,CAT 200,유지,ASAD170,5
K145560,여,53,13-Sep-96,49.666667,0,선불,CAT 200,유지,S80,1
K145570,남,36,22-May-99,16.966667,0,선불,CAT 200,유지,S80,3
K145580,여,26,03-Jan-97,45.933333,2,선불,CAT 200,유지,S50,4
K145590,여,28,21-Mar-98,31.2,8,선불,CAT 200,이탈,ASAD90,3
K145600,여,27,25-Mar-99,18.9,0,선불,CAT 200,유지,S80,2
K145610,남,32,16-Jul-98,27.3,0,선불,CAT 200,유지,S50,5
K145620,여,48,25-Nov-97,35.066667,1,선불,CAT 200,유지,S50,5
K145630,여,54,14-Sep-96,49.633333,1,선불,CAT 200,이탈,ASAD90,4
K145640,여,48,15-Dec-96,46.566667,1,선불,CAT 200,이탈,ASAD90,4
K145650,남,32,13-Aug-96,50.7,0,선불,CAT 200,유지,S50,2
K145660,여,49,26-Jan-96,57.366667,0,선불,CAT 200,유지,S50,
K145670,남,63,06-May-97,41.833333,6,선불,CAT 200,유지,ASAD90,4
K145680,여,32,15-Oct-98,24.266667,9,선불,CAT 200,유지,S80,1
K145690,여,30,19-Oct-97,36.3,11,선불,CAT 200,유지,ASAD170,
K145700,남,46,11-Dec-98,22.366667,6,선불,CAT 200,유지,ASAD170,3
K145710,여,37,01-Feb-99,20.633333,5,선불,CAT 200,유지,S50,4
K145720,여,46,28-Jul-97,39.066667,0,선불,CAT 200,유지,S50,3
K145730,남,43,12-May-96,53.8,1,선불,CAT 200,유지,S50,3
K145740,여,32,16-Jun-99,16.133333,2,선불,CAT 200,유지,S50,4
K145750,남,27,11-Aug-96,50.766667,0,선불,CAT 200,이탈,ASAD90,2
K145760,여,56,07-Nov-99,11.333333,1,선불,CAT 200,유지,ASAD170,4
K145770,여,39,11-Feb-98,32.466667,2,선불,CAT 200,이탈,ASAD90,4
K145780,남,27,22-Sep-97,37.2,2,선불,CAT 200,유지,ASAD170,1
K145790,남,49,14-Mar-96,55.766667,2,선불,CAT 200,이탈,S80,1
K145800,여,28,28-Jun-97,40.066667,10,선불,CAT 200,유지,ASAD170,4
K145810,남,27,27-Nov-96,47.166667,0,선불,CAT 200,유지,ASAD170,1
K145820,남,61,11-Apr-98,30.5,3,선불,CAT 200,유지,S50,4
K145830,여,48,16-Apr-98,30.333333,4,선불,CAT 200,유지,S80,1
K145840,여,71,24-May-96,53.4,2,선불,CAT 200,유지,ASAD170,5
K145850,남,29,27-May-97,41.133333,0,선불,CAT 200,유지,ASAD170,2
K145860,여,48,08-Aug-98,26.533333,10,선불,CAT 200,유지,S80,1
K145870,여,30,22-Apr-99,17.966667,0,선불,CAT 200,유지,ASAD170,
K145880,여,51,26-May-99,16.833333,2,선불,CAT 200,유지,S50,3
K145890,여,37,24-Mar-99,18.933333,0,선불,CAT 200,유지,S80,5
K145900,남,29,15-Apr-96,54.7,2,선불,CAT 200,유지,S50,4
K145910,남,29,01-Sep-97,37.9,0,선불,CAT 200,유지,S80,3
K145920,여,27,07-Feb-96,56.966667,2,선불,CAT 200,유지,S80,5
K145930,남,32,27-Oct-96,48.2,2,선불,CAT 200,유지,S50,
K145940,남,59,10-Feb-96,56.866667,0,선불,CAT 200,유지,S80,5
K145950,여,28,02-Jun-96,53.1,0,선불,CAT 200,유지,ASAD170,5
K145960,남,32,16-Dec-96,46.533333,9,선불,CAT 200,이탈,ASAD90,3
K145970,여,27,17-Jul-97,39.433333,2,선불,CAT 200,유지,ASAD170,4
K145980,남,55,31-Aug-97,37.933333,1,선불,CAT 200,이탈,ASAD90,5
K145990,여,37,26-May-98,29,1,선불,CAT 200,유지,ASAD170,3
K146000,남,51,15-Apr-97,42.533333,1,선불,CAT 200,유지,S50,2
K146010,남,31,14-Mar-97,43.6,2,선불,CAT 200,유지,ASAD170,3
K146020,남,30,07-Aug-98,26.566667,2,선불,CAT 200,유지,S80,2
K146030,남,33,03-Oct-99,12.5,5,선불,CAT 200,유지,ASAD170,
K146040,여,28,17-Feb-97,44.433333,1,선불,CAT 200,유지,ASAD170,3
K146050,여,44,20-Oct-96,48.433333,2,선불,CAT 200,이탈,ASAD90,1
K146060,여,28,18-Apr-96,54.6,4,선불,CAT 200,유지,ASAD170,1
K146070,남,53,16-Oct-99,12.066667,2,선불,CAT 200,유지,ASAD170,3
K146080,여,76,10-Sep-98,25.433333,2,선불,CAT 200,유지,ASAD170,4
K146090,남,63,12-May-96,53.8,1,선불,CAT 200,이탈,ASAD90,1
K146100,남,32,22-Aug-99,13.9,2,선불,CAT 200,이탈,ASAD90,1
K146110,여,28,25-Sep-98,24.933333,0,선불,CAT 200,유지,ASAD170,1
K146120,여,45,26-Nov-97,35.033333,0,선불,CAT 200,이탈,ASAD90,3
K146130,여,41,16-Jul-96,51.633333,1,선불,CAT 200,유지,S80,2
K146140,여,43,11-Apr-99,18.333333,1,선불,CAT 200,유지,S50,1
K146150,남,69,21-Sep-98,25.066667,2,선불,CAT 200,유지,S50,3
K146160,여,43,18-Sep-97,37.333333,1,선불,CAT 200,이탈,ASAD90,4
K146170,여,33,21-Jun-96,52.466667,1,선불,CAT 200,이탈,ASAD90,3
K146180,여,35,19-May-96,53.566667,0,선불,CAT 200,유지,S80,
K146190,남,44,24-Jan-96,57.433333,1,선불,CAT 200,유지,ASAD170,5
K146200,여,44,28-Nov-99,10.633333,1,선불,CAT 200,유지,ASAD170,3
K146210,남,27,12-Sep-99,13.2,1,선불,CAT 200,유지,S80,4
K146220,남,26,04-Aug-99,14.5,1,선불,CAT 200,이탈,ASAD90,4
K146230,남,32,16-Jul-96,51.633333,7,선불,CAT 200,유지,S80,1
K146240,여,26,23-May-98,29.1,1,선불,CAT 200,유지,S80,
K146250,남,36,22-Apr-97,42.3,2,선불,CAT 200,유지,ASAD170,3
K146260,남,56,11-May-99,17.333333,0,선불,CAT 200,유지,ASAD90,
K146270,남,38,12-Jul-96,51.766667,2,선불,CAT 200,유지,S80,2
K146280,남,39,03-Oct-99,12.5,2,선불,CAT 200,유지,S80,2
K146290,남,41,24-Jun-96,52.366667,0,선불,CAT 200,유지,ASAD170,1
K146300,남,48,22-Apr-96,54.466667,0,선불,CAT 200,이탈,ASAD90,2
K146310,남,28,01-Dec-99,10.533333,0,선불,CAT 200,유지,ASAD90,2
K146320,남,54,09-Sep-98,25.466667,0,선불,CAT 200,이탈,ASAD90,5
K146330,여,48,15-May-99,17.2,1,선불,CAT 200,이탈,S50,2
K146340,여,50,15-Apr-97,42.533333,2,선불,CAT 200,유지,S80,5
K146350,여,30,10-Aug-97,38.633333,1,선불,CAT 200,유지,S80,5
K146360,여,28,18-Aug-96,50.533333,2,선불,CAT 200,유지,S50,
K146370,여,34,19-Aug-98,26.166667,0,선불,CAT 200,유지,S80,1
K146380,여,33,31-Jan-99,20.666667,1,선불,CAT 200,유지,ASAD170,
K146390,남,26,05-Dec-96,46.9,2,선불,CAT 200,유지,ASAD170,4
K146400,남,32,28-Jan-97,45.1,6,선불,CAT 200,유지,ASAD170,1
K146410,여,36,08-Jun-97,40.733333,1,선불,CAT 200,유지,S50,2
K146420,여,28,24-Oct-96,48.3,2,선불,CAT 200,유지,S50,1
K146430,여,37,06-Dec-96,46.866667,2,선불,CAT 200,유지,S80,2
K146440,여,52,16-Feb-99,20.133333,2,선불,CAT 200,유지,S80,3
K146450,남,53,25-Jul-96,51.333333,0,선불,CAT 200,유지,S80,1
K146460,여,43,17-Feb-99,20.1,1,선불,CAT 200,이탈,ASAD90,1
K146470,남,26,15-Aug-99,14.133333,4,선불,CAT 200,유지,S80,4
K146480,여,36,18-Jan-97,45.433333,2,선불,CAT 200,유지,S80,3
K146490,여,34,31-Aug-97,37.933333,0,선불,CAT 200,유지,S80,4
K146500,여,42,06-Sep-96,49.9,2,선불,CAT 200,유지,S80,5
K146510,여,41,25-Jun-96,52.333333,2,선불,CAT 200,유지,S80,
K146520,여,72,20-Mar-98,31.233333,1,선불,CAT 200,유지,S50,2
K146530,남,30,03-Jul-98,27.733333,2,선불,CAT 200,유지,S80,1
K146540,남,26,14-Mar-97,43.6,1,선불,CAT 200,유지,S50,5
K146550,남,32,01-Aug-99,14.6,7,선불,CAT 200,이탈,ASAD90,1
K146560,여,39,18-Jul-97,39.4,1,선불,CAT 200,유지,ASAD170,5
K146570,여,34,04-Jul-96,52.033333,2,선불,CAT 200,이탈,ASAD90,1
K146580,남,27,02-Oct-98,24.7,5,선불,CAT 200,이탈,ASAD90,1
K146590,여,34,17-Aug-96,50.566667,9,선불,CAT 200,이탈,ASAD90,5
K146600,여,53,21-May-97,41.333333,5,선불,CAT 200,유지,S50,5
K146610,여,40,15-Jun-98,28.333333,2,선불,CAT 200,유지,S80,1
K146620,여,33,27-Sep-99,12.7,2,선불,CAT 200,유지,S80,4
K146630,여,33,28-May-99,16.766667,2,선불,CAT 200,유지,S80,3
K146640,남,26,23-Mar-96,55.466667,0,선불,CAT 200,이탈,ASAD90,5
K146650,남,35,01-Nov-98,23.7,3,선불,CAT 200,유지,S80,
K146660,여,26,04-Jul-98,27.7,2,선불,CAT 200,유지,ASAD170,5
K146670,남,49,03-Jun-99,16.566667,0,선불,CAT 200,이탈,ASAD90,3
K146680,여,26,26-May-97,41.166667,2,선불,CAT 200,이탈,ASAD90,4
K146690,여,40,16-May-98,29.333333,11,선불,CAT 200,유지,S50,3
K146700,남,30,15-Nov-98,23.233333,1,선불,CAT 200,유지,ASAD170,2
K146710,여,27,03-Sep-99,13.5,2,선불,CAT 200,유지,S50,
K146720,여,41,17-Sep-96,49.533333,2,선불,CAT 200,유지,S50,4
K146730,여,35,19-Nov-97,35.266667,7,선불,CAT 200,유지,S50,
K146740,여,35,09-Apr-97,42.733333,2,선불,CAT 200,이탈,ASAD90,4
K146750,여,26,14-Oct-98,24.3,2,선불,CAT 200,유지,ASAD170,3
K146760,남,30,27-Feb-99,19.766667,2,선불,CAT 200,유지,ASAD170,
K146770,여,77,26-Oct-98,23.9,1,선불,CAT 200,유지,ASAD170,1
K146780,여,38,17-Mar-99,19.166667,1,선불,CAT 200,유지,S50,4
K146790,여,30,24-Jun-97,40.2,0,선불,CAT 200,유지,S50,4
K146800,남,43,14-Aug-98,26.333333,2,선불,CAT 200,이탈,ASAD90,
K146810,남,33,08-Mar-98,31.633333,1,선불,CAT 200,유지,S50,3
K146820,여,29,05-Dec-96,46.9,2,선불,CAT 200,유지,ASAD170,2
K146830,남,28,02-Aug-98,26.733333,0,선불,CAT 200,유지,ASAD170,3
K146840,남,26,22-Sep-97,37.2,2,선불,CAT 200,이탈,ASAD90,4
K146850,여,32,19-Jun-96,52.533333,0,선불,CAT 200,유지,S80,3
K146860,여,52,22-Jul-99,14.933333,1,선불,CAT 200,유지,ASAD170,3
K146870,여,37,18-Jan-99,21.1,2,선불,CAT 200,유지,S80,1
K146880,여,33,08-Sep-99,13.333333,1,선불,CAT 200,유지,S50,5
K146890,여,39,21-Aug-97,38.266667,2,선불,CAT 200,유지,S50,5
K146900,남,43,15-Jul-98,27.333333,2,선불,CAT 200,이탈,ASAD90,5
K146910,여,37,05-Jun-99,16.5,10,선불,CAT 200,유지,ASAD170,4
K146920,남,30,09-Jan-97,45.733333,1,선불,CAT 200,이탈,ASAD90,5
K146930,남,27,06-Nov-96,47.866667,2,선불,CAT 200,이탈,ASAD90,5
K146940,남,48,10-Sep-96,49.766667,0,선불,CAT 200,유지,ASAD170,1
K146950,여,57,14-Jun-98,28.366667,1,선불,CAT 200,유지,ASAD170,4
K146960,남,78,16-Dec-96,46.533333,0,선불,CAT 200,유지,S80,4
K146970,남,44,19-May-97,41.4,0,선불,CAT 200,이탈,ASAD90,5
K146980,남,31,28-Aug-97,38.033333,0,선불,CAT 200,이탈,ASAD90,3
K146990,남,43,03-Feb-98,32.733333,2,선불,CAT 200,유지,S80,4
K147000,남,32,23-Nov-98,22.966667,0,선불,CAT 200,이탈,ASAD90,1
K147010,남,44,20-Sep-99,12.933333,1,선불,CAT 200,유지,S50,
K147020,여,26,17-Oct-98,24.2,8,선불,CAT 200,이탈,ASAD90,3
K147030,남,34,23-Jan-98,33.1,1,선불,CAT 200,유지,S50,3
K147040,여,42,24-Jul-98,27.033333,6,선불,CAT 200,유지,S50,
K147050,남,42,04-Dec-98,22.6,0,선불,CAT 200,이탈,ASAD90,1
K147060,남,45,28-Nov-97,34.966667,1,선불,CAT 200,유지,S50,3
K147070,여,30,17-Nov-96,47.5,2,선불,CAT 200,유지,S80,4
K147080,남,31,28-Feb-98,31.9,0,선불,CAT 200,이탈,ASAD90,2
K147090,남,43,27-Feb-99,19.766667,9,선불,CAT 200,유지,S80,3
K147100,남,27,17-Jul-99,15.1,2,선불,CAT 200,유지,ASAD170,2
K147110,여,76,14-Oct-97,36.466667,0,선불,CAT 200,이탈,ASAD90,4
K147120,여,56,17-Sep-98,25.2,2,선불,CAT 200,유지,S80,4
K147130,남,47,25-Feb-96,56.366667,1,선불,CAT 200,이탈,S50,5
K147140,남,34,23-Jun-97,40.233333,9,선불,CAT 200,유지,ASAD170,1
K147150,남,65,23-Jun-96,52.4,2,선불,CAT 200,이탈,ASAD90,
K147160,남,33,17-Sep-97,37.366667,0,선불,CAT 200,유지,S50,1
K147170,여,43,12-Jan-98,33.466667,11,선불,CAT 200,이탈,ASAD170,
K147180,여,45,27-May-98,28.966667,0,선불,CAT 200,유지,S80,2
K147190,여,28,20-Jul-96,51.5,0,선불,CAT 200,유지,ASAD170,5
K147200,여,47,05-Dec-97,34.733333,1,선불,CAT 200,유지,S80,2
K147210,여,28,02-Aug-96,51.066667,3,선불,CAT 200,이탈,ASAD90,
K147220,남,28,25-Apr-96,54.366667,0,선불,CAT 200,이탈,ASAD90,2
K147230,남,47,19-May-98,29.233333,2,선불,CAT 200,유지,S50,5
K147240,여,26,26-Oct-97,36.066667,1,선불,CAT 200,유지,ASAD170,1
K147250,남,28,25-Feb-96,56.366667,2,선불,CAT 200,유지,S80,2
K147260,남,31,10-Jul-96,51.833333,1,선불,CAT 200,유지,ASAD170,5
K147270,남,28,23-May-96,53.433333,2,선불,CAT 200,유지,S80,5
K147280,남,37,01-Sep-99,13.566667,5,선불,CAT 200,유지,S80,2
K147290,남,26,17-Feb-97,44.433333,10,선불,CAT 200,유지,S80,2
K147300,여,34,13-Sep-99,13.166667,2,선불,CAT 200,이탈,ASAD90,1
K147310,여,48,26-Mar-98,31.033333,1,선불,CAT 200,유지,S50,
K147320,여,36,12-Aug-96,50.733333,1,선불,CAT 200,이탈,ASAD90,2
K147330,남,37,25-Sep-98,24.933333,2,선불,CAT 200,유지,S80,1
K147340,남,52,17-Jul-96,51.6,1,선불,CAT 200,유지,ASAD170,4
K147350,여,28,20-Jul-98,27.166667,1,선불,CAT 200,유지,S50,1
K147360,여,46,12-Aug-98,26.4,7,선불,CAT 200,이탈,ASAD90,4
K147370,남,27,11-May-99,17.333333,4,선불,CAT 200,유지,S50,3
K147380,남,27,28-Jul-99,14.733333,3,선불,CAT 200,이탈,S50,2
K147390,남,28,18-Aug-99,14.033333,9,선불,CAT 200,유지,S50,3
K147400,남,33,17-Apr-98,30.3,1,선불,CAT 200,유지,ASAD170,2
K147410,여,40,08-Oct-98,24.5,2,선불,CAT 200,유지,S50,3
K147420,남,26,10-Jul-99,15.333333,1,선불,CAT 200,유지,S50,2
K147430,남,47,23-Mar-96,55.466667,1,선불,CAT 200,유지,S50,5
K147440,여,41,15-Apr-98,30.366667,0,선불,CAT 200,유지,S50,3
K147450,남,39,05-Aug-96,50.966667,2,선불,CAT 200,유지,ASAD170,1
K147460,남,50,08-Apr-98,30.6,11,선불,CAT 200,이탈,ASAD90,5
K147470,여,26,22-Mar-96,55.5,1,선불,CAT 200,이탈,ASAD170,4
K147480,남,30,09-Dec-99,10.266667,1,선불,CAT 200,유지,ASAD170,4
K147490,여,45,17-Aug-97,38.4,1,선불,CAT 200,유지,S80,2
K147500,여,35,04-Dec-97,34.766667,2,선불,CAT 200,유지,S50,1
K147510,여,26,26-Oct-98,23.9,1,선불,CAT 200,유지,S50,1
K147520,남,58,13-Apr-97,42.6,1,선불,CAT 200,이탈,ASAD90,1
K147530,여,37,10-May-99,17.366667,0,선불,CAT 200,유지,ASAD170,1
K147540,남,26,14-Jan-98,33.4,1,선불,CAT 200,유지,ASAD170,2
K147550,여,37,02-Feb-96,57.133333,2,선불,CAT 200,이탈,ASAD90,3
K147560,여,30,01-Jun-98,28.8,0,선불,CAT 200,유지,ASAD170,3
K147570,여,39,03-Oct-98,24.666667,2,선불,CAT 200,이탈,ASAD90,2
K147580,남,27,04-Aug-97,38.833333,0,선불,CAT 200,유지,S50,4
K147590,남,39,03-Jul-96,52.066667,0,선불,CAT 200,유지,S50,5
K147600,남,48,04-Jul-96,52.033333,0,선불,CAT 200,이탈,S50,3
K147610,남,28,07-Jan-99,21.466667,1,선불,CAT 200,이탈,ASAD90,
K147620,여,34,24-Aug-97,38.166667,2,선불,CAT 200,이탈,ASAD90,4
K147630,남,47,02-Mar-96,56.166667,2,선불,CAT 200,유지,S50,5
K147640,남,36,14-Aug-96,50.666667,2,선불,CAT 200,유지,S50,1
K147650,남,30,15-Aug-97,38.466667,0,선불,CAT 200,유지,S80,2
K147660,여,28,31-Jan-97,45,1,선불,CAT 200,유지,ASAD170,4
K147670,여,38,22-Jul-99,14.933333,0,선불,CAT 200,유지,S80,1
K147680,여,37,12-Aug-98,26.4,0,선불,CAT 200,이탈,ASAD90,2
K147690,남,26,01-Jul-97,39.966667,2,선불,CAT 200,이탈,ASAD90,2
K147700,남,41,24-May-96,53.4,6,선불,CAT 200,이탈,ASAD90,3
K147710,여,27,13-Nov-99,11.133333,11,선불,CAT 200,이탈,ASAD90,3
K147720,남,38,18-Feb-97,44.4,1,선불,CAT 200,유지,S50,
K147730,남,45,02-Feb-98,32.766667,1,선불,CAT 200,유지,S80,5
K147740,여,33,05-Mar-97,43.9,0,선불,CAT 200,유지,S80,
K147750,여,44,23-Oct-99,11.833333,0,선불,CAT 200,이탈,ASAD90,5
K147760,남,28,21-Mar-98,31.2,11,선불,CAT 200,유지,ASAD170,2
K147770,여,40,28-Jan-98,32.933333,1,선불,CAT 200,유지,S50,4
K147780,남,40,07-Dec-97,34.666667,0,선불,CAT 200,유지,S50,
K147790,여,60,31-May-98,28.833333,0,선불,CAT 200,이탈,ASAD90,1
K147800,여,30,27-May-97,41.133333,1,선불,CAT 200,유지,ASAD170,3
K147810,남,30,27-Nov-97,35,0,선불,CAT 200,유지,S80,4
K147820,여,27,19-Mar-96,55.6,1,선불,CAT 200,이탈,ASAD90,3
K147830,남,40,20-Apr-98,30.2,6,선불,CAT 200,유지,ASAD170,5
K147840,남,43,04-Dec-96,46.933333,2,선불,CAT 200,이탈,ASAD90,5
K147850,여,41,09-Jun-96,52.866667,11,선불,CAT 200,유지,S50,1
K147860,남,27,01-Mar-97,44.033333,1,선불,CAT 200,유지,ASAD170,5
K147870,남,33,11-Jul-98,27.466667,1,선불,CAT 200,유지,ASAD170,5
K147880,여,45,12-Nov-96,47.666667,2,선불,CAT 200,이탈,ASAD90,5
K147890,남,50,15-Sep-96,49.6,0,선불,CAT 200,유지,S80,2
K147900,남,31,13-Nov-98,23.3,2,선불,CAT 200,유지,ASAD170,3
K147910,여,28,03-Aug-98,26.7,2,선불,CAT 200,유지,ASAD170,3
K147920,남,68,10-Feb-98,32.5,10,선불,CAT 200,유지,S80,1
K147930,여,32,12-Mar-96,55.833333,1,선불,CAT 200,유지,ASAD170,3
K147940,남,36,12-Jan-97,45.633333,2,선불,CAT 200,유지,ASAD170,3
K147950,여,33,07-Oct-98,24.533333,4,선불,CAT 200,유지,S80,
K147960,남,27,12-Jun-98,28.433333,1,선불,CAT 200,유지,S80,1
K147970,여,46,11-Apr-99,18.333333,0,선불,CAT 200,유지,S50,3
K147980,남,35,03-Jan-97,45.933333,1,선불,CAT 200,유지,ASAD170,2
K147990,남,27,24-Dec-96,46.266667,10,선불,CAT 200,유지,ASAD170,1
K148000,여,26,05-Jan-97,45.866667,0,선불,CAT 200,유지,S50,2
K148010,여,37,11-Sep-96,49.733333,0,선불,CAT 200,유지,S80,5
K148020,여,50,20-Aug-99,13.966667,2,선불,CAT 200,이탈,ASAD90,1
